"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 01 15:02:54 GMT 2025","Tue Apr 01 15:02:54 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_admin_user_creates_project_in_another_user_project_area","Admin user cannot create project in another user's project area"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_id","User cannot create two projects with the same ID"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project","User should be able to create project"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_name","User cannot create project with empty name"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission","User cannot create project without permission"
"broken","Tue Apr 01 15:02:52 GMT 2025","Tue Apr 01 15:02:52 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_two_build_types_with_same_id","User should not be able to create two build types with the same ID"
"broken","Tue Apr 01 15:02:54 GMT 2025","Tue Apr 01 15:02:54 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_copy_project","User should be able to copy project"
"broken","Tue Apr 01 15:02:52 GMT 2025","Tue Apr 01 15:02:52 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type_for_another_user_project","Project admin should not be able to create build type for not their project"
"broken","Tue Apr 01 15:02:52 GMT 2025","Tue Apr 01 15:02:52 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_build_type","User should be able to create build type"
"broken","Tue Apr 01 15:02:52 GMT 2025","Tue Apr 01 15:02:52 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type","Project admin should be able to create build type for their project"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_name","User cannot create two projects with the same name"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_id","User cannot create project with empty ID"
"broken","Tue Apr 01 15:02:53 GMT 2025","Tue Apr 01 15:02:53 GMT 2025","0","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_parent_project","User should be able to create project with parent project"
"passed","Tue Apr 01 15:01:35 GMT 2025","Tue Apr 01 15:02:46 GMT 2025","70560","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
