"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 17:44:09 GMT 2025","Mon May 12 17:45:16 GMT 2025","66972","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server[driver0]",""
"passed","Mon May 12 17:45:26 GMT 2025","Mon May 12 17:45:26 GMT 2025","288","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_id","User cannot create two projects with the same ID"
"passed","Mon May 12 17:45:27 GMT 2025","Mon May 12 17:45:27 GMT 2025","205","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_name","User cannot create project with empty name"
"passed","Mon May 12 17:45:21 GMT 2025","Mon May 12 17:45:23 GMT 2025","2191","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_build_type","User should be able to create build type"
"passed","Mon May 12 17:45:24 GMT 2025","Mon May 12 17:45:24 GMT 2025","528","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_two_build_types_with_same_id","User should not be able to create two build types with the same ID"
"passed","Mon May 12 17:45:28 GMT 2025","Mon May 12 17:45:29 GMT 2025","356","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission[TOOLS_INTEGRATION]","User cannot create project without permission"
"passed","Mon May 12 17:45:26 GMT 2025","Mon May 12 17:45:27 GMT 2025","325","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_name","User cannot create two projects with the same name"
"passed","Mon May 12 17:45:30 GMT 2025","Mon May 12 17:45:30 GMT 2025","638","tests.api_tests","test_project_type","TestProject","","","test_user_copy_project","User should be able to copy project"
"passed","Mon May 12 17:45:25 GMT 2025","Mon May 12 17:45:25 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type_for_another_user_project","Project admin should not be able to create build type for not their project"
"passed","Mon May 12 17:45:25 GMT 2025","Mon May 12 17:45:26 GMT 2025","512","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_parent_project","User should be able to create project with parent project"
"passed","Mon May 12 17:45:29 GMT 2025","Mon May 12 17:45:29 GMT 2025","393","tests.api_tests","test_project_type","TestProject","","","test_admin_user_creates_project_in_another_user_project_area","Admin user cannot create project in another user's project area"
"passed","Mon May 12 17:45:25 GMT 2025","Mon May 12 17:45:25 GMT 2025","363","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project","User should be able to create project"
"passed","Mon May 12 17:45:25 GMT 2025","Mon May 12 17:45:25 GMT 2025","1","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type","Project admin should be able to create build type for their project"
"passed","Mon May 12 17:45:28 GMT 2025","Mon May 12 17:45:28 GMT 2025","283","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission[PROJECT_VIEWER]","User cannot create project without permission"
"passed","Mon May 12 17:45:27 GMT 2025","Mon May 12 17:45:28 GMT 2025","228","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_id","User cannot create project with empty ID"
