"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 13:45:35 GMT 2025","Wed May 14 13:45:36 GMT 2025","482","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_two_build_types_with_same_id","User should not be able to create two build types with the same ID"
"passed","Wed May 14 13:45:36 GMT 2025","Wed May 14 13:45:36 GMT 2025","1","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type_for_another_user_project","Project admin should not be able to create build type for not their project"
"passed","Wed May 14 13:45:36 GMT 2025","Wed May 14 13:45:36 GMT 2025","0","tests.api_tests","test_build_type","TestBuildType","","","test_project_admin_creates_build_type","Project admin should be able to create build type for their project"
"passed","Wed May 14 13:45:37 GMT 2025","Wed May 14 13:45:37 GMT 2025","935","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_parent_project","User should be able to create project with parent project"
"passed","Wed May 14 13:45:39 GMT 2025","Wed May 14 13:45:39 GMT 2025","276","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_name","User cannot create project with empty name"
"passed","Wed May 14 13:45:40 GMT 2025","Wed May 14 13:45:40 GMT 2025","241","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_with_empty_id","User cannot create project with empty ID"
"passed","Wed May 14 13:44:16 GMT 2025","Wed May 14 13:45:27 GMT 2025","71281","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server[driver0]",""
"passed","Wed May 14 13:45:40 GMT 2025","Wed May 14 13:45:40 GMT 2025","302","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission[PROJECT_VIEWER]","User cannot create project without permission"
"passed","Wed May 14 13:45:32 GMT 2025","Wed May 14 13:45:35 GMT 2025","2530","tests.api_tests","test_build_type","TestBuildType","","","test_user_creates_build_type","User should be able to create build type"
"passed","Wed May 14 13:45:38 GMT 2025","Wed May 14 13:45:38 GMT 2025","311","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_id","User cannot create two projects with the same ID"
"passed","Wed May 14 13:45:39 GMT 2025","Wed May 14 13:45:39 GMT 2025","366","tests.api_tests","test_project_type","TestProject","","","test_user_creates_two_projects_with_same_name","User cannot create two projects with the same name"
"passed","Wed May 14 13:45:36 GMT 2025","Wed May 14 13:45:36 GMT 2025","313","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project","User should be able to create project"
"passed","Wed May 14 13:45:42 GMT 2025","Wed May 14 13:45:42 GMT 2025","579","tests.api_tests","test_project_type","TestProject","","","test_user_copy_project","User should be able to copy project"
"passed","Wed May 14 13:45:41 GMT 2025","Wed May 14 13:45:41 GMT 2025","363","tests.api_tests","test_project_type","TestProject","","","test_user_creates_project_without_permission[TOOLS_INTEGRATION]","User cannot create project without permission"
"passed","Wed May 14 13:45:41 GMT 2025","Wed May 14 13:45:42 GMT 2025","433","tests.api_tests","test_project_type","TestProject","","","test_admin_user_creates_project_in_another_user_project_area","Admin user cannot create project in another user's project area"
